Total Population by Sex and Community in 2012,,,,
,,,,
community,total,female ,male ,others 
-9,223,136,87,0
1,28061,14416,13573,36
2,43977,22726,21148,50
3,27739,14055,13622,25
,,,,
,,,,
Footnote:,,,,
For community: -9 refers to missing values,,,,
